"tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"WALKING.1" 0.277776000945946 -0.0172543741432432 -0.110399445810811 0.945203297837838 -0.211138818878378 -0.0240446486216216 0.0782503875283784 0.0196096099391892 -0.00851115217905406 -0.0230229605475 -0.0739791928650878 0.0898597636422297 -0.101711982356081 -0.0441679671581081 -0.0515008907135135 -0.133543987247297 -0.133543987247297 -0.138276090877088 -0.159360609459459 -0.349433258466216 -0.171064386277027 0.0767056900716216 -0.360431726216216 -0.148127299513581 -0.0115435749568311 -0.467216306148649 -0.317145196662162 -0.189775158049324 -0.203151898065541 -0.115874906422973 -0.0293164767787838 -0.275660069349324 -0.389410670331081 -0.246127976439189 0.0653272921418919 -0.308593510337838 -0.975830942027027 -0.971237476283784 -0.951350412702703 -0.0916218554148649 0.0698952960756757 -0.505909553513514 -0.452288928040541 -0.124884891301689 -0.283480728621622 -0.264232794135135 -0.377957600608108 -0.377334331824324 -0.207482083287838 -0.207482083287838 -0.0343349617664865 -0.263988356891892 -0.388245561317568 -0.278751504817568 -0.0105021066515541 -0.335414627175676 -0.114093070382905 0.085878953317027 -0.543236130405405 -0.495778781216216 -0.094703342729054 -0.378094145405405 -0.388162897162162 -0.0484507690525 -0.385026857162162 -0.430331074121622
"WALKING_UPSTAIRS.1" 0.2609419666 -0.0194563503661 -0.107114858902 0.9114507646 -0.2185277862 -0.02926975607523 0.084222524124 0.022844514301 -0.0482768129 0.061263188186 -0.13293631817 0.07227477619 -0.138673260465 -0.0398391324375 -0.0387336746457 -0.0813929391436 -0.0813929391436 -0.37040470645 -0.046556891882 -0.5613155137 -0.27981361719 -0.119580008474 -0.3712423539 -0.348904611617 -0.31635586583 -0.6233198212 -0.363790800949 -0.28017526632 -0.36390530547 -0.26519720984 -0.30677562537 -0.29748426632 -0.6186465027 -0.26394345769 -0.003839592615 -0.045045008362 -0.9577060788 -0.9454186198 -0.8899916315 -0.32482074299 -0.28405289501 -0.6600291971 -0.433792998217 0.021526806841 -0.41943878388 -0.526663781 -0.603074885 -0.5480110169 -0.27165720820076 -0.27165720820076 -0.360090352708 -0.1319076951332 -0.6343211205 -0.259656894236 -0.0127275400862 0.02946665383 -0.3611819345034 -0.297656025276 -0.69636155 -0.46033478153 0.16103143904 -0.4928015341 -0.3904934951 -0.4396732931 -0.17545793223 -0.6832897406
"WALKING_DOWNSTAIRS.1" 0.289718256137931 -0.0143241339609195 -0.108999885631034 0.935339408390805 -0.178382960137931 -0.0166983840908046 0.0745984739195402 0.0214092716321839 -0.00611295661264368 -0.0742843207775862 -0.0978406413517241 0.0823794678293103 -0.0697736114796552 -0.0461512671321839 -0.0466991841965517 0.124876890989885 0.124876890989885 -0.0282331918512644 -0.0530747127218391 -0.341933243149425 0.115730004073563 0.00482432667655172 -0.195940536864368 0.0636597409781609 -0.124664988006897 -0.267519602256322 -0.292130374480575 -0.150393647862069 -0.000855264806896553 0.150540677113793 0.0833318625252874 -0.241028728649425 -0.370295069191954 0.146087429759437 -0.0162052113908046 -0.209959354071839 -0.945627587011494 -0.937012179195402 -0.898623949425287 0.090604269716092 -0.103094731641264 -0.333703177482759 -0.391078401505747 -0.207179270252874 -0.0856540602126437 -0.456434632873563 -0.340519008034483 -0.250580842952874 0.0797731607666667 0.0797731607666667 0.0339050174977011 -0.249598188 -0.388448739896552 0.155639142043678 -0.0912862825781609 -0.285155647241379 0.0199151132463218 -0.142780930258621 -0.399287046896552 -0.427324683091954 -0.252095722691954 -0.19998410276092 -0.131995489054023 -0.0419947968712644 -0.393733483735632 -0.458777444643678
"SITTING.1" 0.266249669554455 -0.00865142910534653 -0.104388628326733 0.810325500693069 0.073062009960396 0.262801197673267 0.0775117818415842 0.00451242491881188 -0.00423813971683168 -0.0442236278326733 -0.0791326803564356 0.0691678496138614 -0.0933992874950495 -0.0406982624257426 -0.0478994832689109 -0.955070472574257 -0.955070472574257 -0.987733128910891 -0.938008489009901 -0.992901904653465 -0.982475920891089 -0.942141432376238 -0.967450506336634 -0.988076938712871 -0.981249793861386 -0.986055057425743 -0.981676895346535 -0.981367239108911 -0.958843425247525 -0.951791801386139 -0.985603596237624 -0.967002953069307 -0.991077498019802 -0.98026199990099 -0.920138324633663 -0.954685274158416 -0.970954623465347 -0.935609524554455 -0.958588554158416 -0.987775740495049 -0.98104305960396 -0.98809525950495 -0.983446312475247 -0.976043876633663 -0.951595051782178 -0.992049745742574 -0.991157543960396 -0.989178344653465 -0.933810332871287 -0.933810332871287 -0.984702706633663 -0.949786967227723 -0.99011985 -0.979529404158416 -0.914902779237624 -0.951392133960396 -0.98859327009901 -0.982263521485149 -0.988751763663366 -0.984217486633663 -0.973698197227723 -0.953809314455446 -0.935431199306931 -0.982494003762376 -0.948377834158416 -0.98938043029703
"STANDING.1" 0.277889150206186 -0.0158673621701031 -0.109405319927835 0.947967449278351 -0.168733748082474 0.0231104514329897 0.0779176700103093 0.00975615787350516 -0.00421740494686598 -0.0258918451231959 -0.0722274520824742 0.0877062729175258 -0.101942855092784 -0.0409313088268041 -0.0532442699030928 -0.969631514845361 -0.969631514845361 -0.98002784443299 -0.955307324226804 -0.984384505257732 -0.983841631546392 -0.952715667216495 -0.971677640412371 -0.980539170824742 -0.965808791752577 -0.982355580824742 -0.958090307525773 -0.975983746391753 -0.967229563608247 -0.964832314536082 -0.973985914329897 -0.96337475 -0.981569428453608 -0.987886886391753 -0.948863856701031 -0.962309947010309 -0.992627376804124 -0.978588119896907 -0.968728662989691 -0.980863364123711 -0.965544783608247 -0.985074832989691 -0.961201605360825 -0.974637283917526 -0.968414294948454 -0.973631575257732 -0.986658663402062 -0.981649423814433 -0.961676442268041 -0.961676442268041 -0.974481036494845 -0.952288568762887 -0.980978100103093 -0.990095557938144 -0.949416447216495 -0.959866152783505 -0.983070548659794 -0.967889189072165 -0.98648870556701 -0.962447436082474 -0.974085601237113 -0.971710905257732 -0.965409838556701 -0.974196604329897 -0.953288763298969 -0.981237375360825
"LAYING.1" 0.253085976824074 -0.0318034976987963 -0.115332953111111 -0.358538284203704 0.25183539975 0.189683627685185 0.0771814856509259 0.0102078891858333 0.00886473868601852 -0.0181657319842593 -0.0712240279309259 0.12507647737963 -0.103531724218519 -0.0401008544712963 -0.0660076532314815 -0.903609288564815 -0.903609288564815 -0.966124171018519 -0.908502364166667 -0.967418895740741 -0.955255895555556 -0.913935995453704 -0.926507341018519 -0.968856897962963 -0.946938912685185 -0.961235125555556 -0.90585653360463 -0.953522562407407 -0.941768251203704 -0.909607154953704 -0.952236695277778 -0.902737801296296 -0.952361138703704 -0.949659973981481 -0.895701109268519 -0.897707558253704 -0.927818088425926 -0.939395068407407 -0.911805201592593 -0.968967950648148 -0.947124534259259 -0.966348536759259 -0.920894064638889 -0.952470500462963 -0.942470257222222 -0.94400610712963 -0.967216504814815 -0.971838588333333 -0.873099436601852 -0.873099436601852 -0.949357280555556 -0.877257741555556 -0.948618140462963 -0.947814981203704 -0.894097855592593 -0.891794173194444 -0.972078597685185 -0.951499015462963 -0.970251157685185 -0.926466735092593 -0.952425048796296 -0.94811533 -0.876710514351852 -0.945204600740741 -0.883061558092593 -0.947757964444444
"WALKING.2" 0.274256192293578 -0.0161491174190826 -0.10474988306422 0.955828572201835 -0.186329163577982 0.0560084889633028 0.0659037166256881 0.0159831316823853 -0.00492872773027523 -0.0710510515320183 -0.0539594012761468 0.0915301664083899 -0.0782509297284404 -0.0506995254311927 -0.039986125876422 -0.202947819930275 -0.202947819930275 -0.28386151426055 -0.391585477027523 -0.578788242201835 -0.239572221610092 -0.0776600507051376 -0.527376483577982 -0.282785693825688 -0.195733994265229 -0.600296762385321 -0.463020566422018 -0.535666544954128 -0.361132395211009 -0.318423209442202 -0.227591497127523 -0.533287378899083 -0.664419954678899 -0.288005586190826 -0.084584192 -0.475571151376147 -0.980189136238532 -0.965496801376147 -0.956001098348624 -0.238144906633028 -0.139210853341743 -0.625068541651376 -0.573372866513762 -0.47658680587156 -0.395642461302752 -0.472437883853211 -0.666111616055046 -0.518769051284404 -0.372706994779817 -0.372706994779817 -0.227519158917431 -0.491778176605505 -0.659735193394495 -0.308475765244954 -0.147940980611927 -0.490549036880734 -0.25995967053211 -0.135259515650917 -0.648446130275229 -0.609385412477064 -0.44913802146789 -0.46355550266055 -0.50392402293578 -0.232358326190826 -0.551606344954128 -0.677867618807339
"WALKING_UPSTAIRS.2" 0.26828635859434 -0.0283739786490566 -0.107063355245283 0.915067254811321 -0.302157098867925 0.0402377591886792 0.0850874464216981 -0.0101388104064151 -0.00326830556886792 -0.0875031105521698 -0.0490589723339623 0.0765586036983962 -0.0552230883877358 -0.0531247308867925 -0.0555149245042453 -0.17997805559434 -0.17997805559434 -0.471756033207547 -0.285224647783019 -0.716920290849057 -0.338718234245283 -0.212307549129245 -0.556205807264151 -0.441924087641509 -0.395350964622642 -0.727389623301887 -0.449500070566038 -0.592717120566038 -0.542910284245283 -0.31346770990566 -0.399869161698113 -0.571651626698113 -0.755929669150943 -0.263991677235849 -0.103486741619811 -0.317832204584906 -0.956790705471698 -0.93270905 -0.922208422358491 -0.407287674150943 -0.370825905141509 -0.752970616698113 -0.513756522915094 -0.400224477830189 -0.525391863301887 -0.606257075 -0.785782843773585 -0.693403698113208 -0.287753451698113 -0.287753451698113 -0.411672527735849 -0.450404282276415 -0.758094426226415 -0.238075134933962 -0.108947066562264 -0.263274482833019 -0.425066364056604 -0.387557486490566 -0.777486860471698 -0.538734933698113 -0.315738681500943 -0.566161591981132 -0.385474832735849 -0.431711078207547 -0.471100822443396 -0.778622175188679
"WALKING_DOWNSTAIRS.2" 0.286563364673913 -0.0179470194938748 -0.110313041119565 0.945804193586957 -0.189512059021739 0.0381333112141304 0.0759334454445652 0.00664925234565217 -0.00883413316304348 -0.118800131742391 -0.0345056018945652 0.0735339776076087 -0.0242792616858696 -0.0564725091586957 -0.0513144192978261 0.0722708001108696 0.0722708001108696 -0.15264857975 -0.205617435473913 -0.521062919891304 0.0293493288423913 0.0876304072945652 -0.389872988586957 -0.0637388636911956 -0.0855425856054348 -0.490919926847826 -0.248816590075 -0.474442999130435 -0.243113238141304 0.119149013548913 -0.0102290796630435 -0.400554264441304 -0.563284009217391 0.0924325243217391 0.0908238081467391 -0.37452217576087 -0.957000758043478 -0.934804448913043 -0.930607127065217 -0.0385510607978261 -0.0319474975054348 -0.539183137826087 -0.368106042611957 -0.486099731413043 -0.328383138119565 -0.406491556076087 -0.601036213913044 -0.422895675032609 0.0740175963586956 0.0740175963586956 -0.0307195481097826 -0.329904227391739 -0.56510026173913 0.114120735643478 0.0215136141402174 -0.418008354130435 -0.100326531093478 -0.0394657585923913 -0.586682084347826 -0.410042997717391 -0.500025314565217 -0.42286673076087 -0.121124016223913 -0.0657993143032609 -0.402056699452174 -0.600505046847826
"SITTING.2" 0.275813932019231 -0.0153460674064423 -0.109636540855769 0.898574606346154 0.149640001532692 0.139509109971154 0.0766436141057692 0.00508863584057692 0.00324392930432692 -0.0411839604519231 -0.0753664208461538 0.0745420762307692 -0.0944794639326923 -0.0390196565586538 -0.0510416328548077 -0.957167867019231 -0.957167867019231 -0.977089496538462 -0.946991791346154 -0.985043441057692 -0.980591253942308 -0.938556130288462 -0.963916143461538 -0.979006605865385 -0.965876350961538 -0.978391802115385 -0.976977333173077 -0.973362787211538 -0.955073845192308 -0.954477455673077 -0.973549916057692 -0.964264448173077 -0.982954554711538 -0.982684862211539 -0.924922649038462 -0.954292076730769 -0.986664046538462 -0.956584108269231 -0.964083706538462 -0.978451614519231 -0.965433198461538 -0.981319154711538 -0.981427242884615 -0.971582236923077 -0.95221084375 -0.984042372692308 -0.984039854230769 -0.979114779038462 -0.946021239519231 -0.946021239519231 -0.973645788942308 -0.953493742307692 -0.982335486153846 -0.983688781634615 -0.922983003173077 -0.95220805375 -0.97982902625 -0.967498299134615 -0.982907515576923 -0.982888260961538 -0.970811396057692 -0.955805869230769 -0.949564152788462 -0.972613920384615 -0.954703901346154 -0.982492873942308
